,ID,Reached.on.Time_Y.N
0,6811,0.68
1,4320,0.32
2,5732,0.5
3,7429,0.45
4,2191,1.0
5,8618,0.25
6,3311,0.51
7,7221,0.66
8,3291,0.31
9,9115,0.33
10,9396,0.69
11,663,0.94
12,6124,0.35
13,536,0.99
14,7082,0.33
15,7699,0.38
16,8651,0.51
17,8475,0.43
18,890,0.98
19,6596,0.65
20,3501,0.44
21,7751,0.41
22,10896,0.3
23,6343,0.47
24,3456,0.32
25,9417,0.35
26,9086,0.57
27,2043,1.0
28,1940,1.0
29,1347,1.0
30,6754,0.59
31,427,0.97
32,9503,0.34
33,9594,0.45
34,1385,0.97
35,9641,0.61
36,1818,0.97
37,7656,0.74
38,2805,0.99
39,6288,0.44
40,9003,0.45
41,4759,0.78
42,9576,0.59
43,6448,0.52
44,5603,0.38
45,891,0.96
46,5741,0.4
47,9305,0.58
48,1785,0.73
49,9603,0.29
50,5443,0.41
51,5328,0.28
52,3765,0.45
53,5627,0.46
54,2939,1.0
55,2029,0.98
56,5868,0.47
57,7647,0.46
58,8513,0.39
59,7865,0.25
60,8186,0.44
61,10050,0.56
62,4693,0.5
63,4560,0.4
64,7775,0.41
65,9504,0.46
66,10480,0.39
67,2480,0.99
68,1918,0.77
69,10685,0.33
70,9406,0.61
71,7419,0.7
72,10895,0.63
73,9455,0.35
74,2969,0.94
75,6935,0.7
76,8427,0.2
77,8985,0.24
78,4318,0.71
79,515,0.86
80,4553,0.61
81,4935,0.42
82,1161,0.98
83,10574,0.19
84,1757,0.97
85,671,0.83
86,6335,0.44
87,10290,0.26
88,491,0.95
89,9866,0.46
90,2672,1.0
91,823,0.99
92,9469,0.59
93,4672,0.42
94,5762,0.46
95,2472,0.99
96,4522,0.49
97,10447,0.38
98,8239,0.65
99,5119,0.31
100,8126,0.35
101,6760,0.57
102,7311,0.49
103,4407,0.53
104,3295,0.53
105,1066,0.99
106,6055,0.33
107,5978,0.66
108,1346,0.79
109,1762,1.0
110,3967,0.4
111,4587,0.49
112,8148,0.52
113,3657,0.32
114,1516,0.99
115,4397,0.37
116,4564,0.58
117,727,0.99
118,5180,0.44
119,4233,0.52
120,6924,0.56
121,8725,0.45
122,7969,0.39
123,3607,0.65
124,393,0.97
125,9330,0.52
126,8392,0.33
127,4051,0.44
128,10077,0.28
129,4482,0.42
130,4443,0.24
131,7554,0.33
132,7048,0.52
133,7551,0.47
134,5320,0.62
135,3581,0.49
136,2341,0.97
137,3653,0.44
138,2279,1.0
139,2877,0.98
140,10310,0.38
141,5088,0.51
142,10434,0.33
143,5643,0.48
144,9754,0.29
145,6638,0.28
146,1838,0.99
147,9138,0.46
148,10556,0.39
149,7133,0.64
150,6033,0.53
151,7506,0.5
152,6840,0.51
153,399,1.0
154,7741,0.36
155,1492,0.97
156,559,1.0
157,7076,0.56
158,873,0.95
159,7500,0.51
160,7108,0.21
161,8387,0.68
162,3051,0.96
163,5525,0.59
164,9615,0.28
165,2503,1.0
166,8495,0.54
167,7574,0.26
168,2772,0.94
169,8405,0.27
170,6217,0.31
171,2920,1.0
172,417,0.99
173,8251,0.44
174,2462,1.0
175,10438,0.3
176,8474,0.42
177,3324,0.51
178,4428,0.52
179,7211,0.43
180,681,0.99
181,9870,0.52
182,9541,0.27
183,10184,0.3
184,8064,0.4
185,10615,0.29
186,98,0.88
187,4567,0.43
188,4380,0.36
189,4892,0.6
190,506,1.0
191,9436,0.45
192,9965,0.42
193,479,0.99
194,2222,0.88
195,516,1.0
196,6959,0.58
197,3225,0.63
198,2315,0.95
199,6376,0.42
200,8840,0.56
201,7546,0.41
202,3476,0.44
203,4623,0.3
204,3001,1.0
205,566,1.0
206,7872,0.48
207,8108,0.56
208,8173,0.37
209,8343,0.58
210,2457,0.97
211,6826,0.5
212,3656,0.27
213,7689,0.46
214,6074,0.42
215,3076,1.0
216,5678,0.66
217,1493,0.64
218,10109,0.48
219,2389,1.0
220,5282,0.84
221,10142,0.42
222,6361,0.45
223,9889,0.55
224,1353,0.98
225,857,0.98
226,2167,1.0
227,73,1.0
228,408,1.0
229,3971,0.62
230,9334,0.33
231,3315,0.47
232,6964,0.54
233,2737,0.98
234,907,0.98
235,8762,0.67
236,10591,0.49
237,1994,0.99
238,6120,0.41
239,2179,0.9
240,7971,0.5
241,4706,0.6
242,9034,0.37
243,7651,0.53
244,2542,0.66
245,1666,0.96
246,4833,0.5
247,6049,0.63
248,8650,0.33
249,2899,1.0
250,5644,0.55
251,8178,0.47
252,8197,0.51
253,8668,0.48
254,1182,0.99
255,5138,0.4
256,8579,0.61
257,8761,0.56
258,5005,0.38
259,5655,0.63
260,7226,0.41
261,2660,0.99
262,3811,0.52
263,5408,0.43
264,8466,0.32
265,8519,0.47
266,5152,0.26
267,7680,0.27
268,7669,0.43
269,4555,0.37
270,10263,0.42
271,2651,1.0
272,8131,0.51
273,9661,0.68
274,331,1.0
275,7368,0.46
276,3144,0.45
277,2484,0.94
278,3630,0.43
279,4956,0.35
280,5675,0.43
281,7019,0.27
282,250,0.98
283,861,0.94
284,4176,0.37
285,9029,0.54
286,10708,0.62
287,2477,1.0
288,10842,0.33
289,6325,0.44
290,647,0.97
291,8515,0.58
292,2150,0.9
293,3415,0.53
294,9488,0.35
295,8357,0.49
296,4140,0.34
297,2948,0.99
298,8379,0.6
299,4348,0.55
300,215,1.0
301,4122,0.55
302,3538,0.28
303,2717,0.98
304,2182,0.99
305,1734,0.99
306,10533,0.5
307,7328,0.44
308,6888,0.49
309,8596,0.5
310,4461,0.52
311,2922,0.99
312,2593,0.99
313,5530,0.41
314,6449,0.41
315,9899,0.59
316,10010,0.5
317,469,0.87
318,1687,0.98
319,1035,0.97
320,1865,1.0
321,9449,0.36
322,261,0.98
323,5934,0.37
324,8230,0.49
325,1464,1.0
326,2336,0.98
327,10360,0.6
328,8692,0.27
329,9395,0.45
330,4611,0.42
331,6254,0.29
332,6991,0.32
333,7713,0.32
334,10780,0.38
335,3695,0.55
336,2128,0.83
337,8395,0.43
338,6630,0.45
339,3687,0.31
340,10769,0.35
341,2490,1.0
342,1999,1.0
343,2355,0.99
344,1216,1.0
345,8394,0.63
346,9950,0.35
347,8627,0.52
348,1904,0.87
349,7360,0.32
350,3297,0.38
351,2753,0.99
352,4925,0.6
353,5335,0.42
354,4904,0.54
355,2705,1.0
356,9309,0.26
357,5157,0.59
358,4341,0.31
359,8234,0.18
360,5250,0.56
361,9175,0.42
362,4467,0.42
363,3249,0.69
364,3042,0.99
365,3421,0.51
366,6155,0.22
367,27,0.99
368,9202,0.4
369,9654,0.5
370,583,0.99
371,210,0.97
372,8778,0.27
373,3223,0.28
374,9454,0.39
375,3859,0.3
376,9325,0.29
377,5014,0.64
378,5902,0.49
379,10664,0.48
380,7075,0.27
381,3740,0.18
382,8836,0.65
383,7145,0.53
384,1977,1.0
385,7933,0.42
386,3279,0.49
387,4563,0.39
388,7104,0.66
389,8434,0.52
390,4003,0.71
391,8817,0.48
392,3121,0.99
393,9778,0.42
394,8341,0.23
395,5016,0.73
396,4392,0.54
397,1259,1.0
398,1359,0.99
399,7679,0.4
400,3186,0.33
401,186,1.0
402,21,0.99
403,2188,0.99
404,1174,0.67
405,9936,0.5
406,403,0.96
407,1809,0.96
408,4139,0.22
409,6929,0.73
410,9826,0.22
411,6934,0.37
412,715,1.0
413,4816,0.49
414,7174,0.5
415,8069,0.52
416,1008,0.91
417,3515,0.51
418,1946,1.0
419,6973,0.43
420,3158,0.31
421,6975,0.42
422,10405,0.48
423,7016,0.42
424,3040,1.0
425,6293,0.24
426,10697,0.53
427,9412,0.56
428,2312,0.98
429,7269,0.4
430,7490,0.26
431,9338,0.46
432,1995,0.83
433,5887,0.41
434,3535,0.5
435,1971,0.99
436,2450,0.98
437,748,0.9
438,4090,0.7
439,6981,0.15
440,4491,0.3
441,6613,0.41
442,4826,0.38
443,5571,0.38
444,9049,0.43
445,1080,1.0
446,10673,0.58
447,5879,0.48
448,5862,0.37
449,511,1.0
450,2453,0.99
451,10485,0.76
452,6816,0.42
453,3199,0.61
454,6637,0.45
455,265,0.59
456,7690,0.42
457,224,0.9
458,9002,0.36
459,8620,0.5
460,1133,1.0
461,5680,0.37
462,1949,1.0
463,5677,0.41
464,7501,0.61
465,6201,0.55
466,6859,0.29
467,7234,0.72
468,8351,0.49
469,8846,0.33
470,8339,0.38
471,8096,0.53
472,5544,0.49
473,7448,0.44
474,7515,0.46
475,6656,0.58
476,863,0.99
477,3514,0.44
478,4308,0.47
479,9680,0.45
480,9336,0.46
481,195,0.95
482,7734,0.25
483,8767,0.54
484,4163,0.79
485,3685,0.47
486,1744,0.94
487,496,0.98
488,9519,0.48
489,9573,0.49
490,9027,0.42
491,1417,0.79
492,5493,0.4
493,5612,0.65
494,2166,1.0
495,9793,0.44
496,6792,0.41
497,9143,0.56
498,6645,0.51
499,9123,0.46
500,8171,0.3
501,1256,1.0
502,2881,0.99
503,9769,0.41
504,8340,0.42
505,6682,0.44
506,3613,0.47
